period_number,context_size,cache_hit_rate,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
1,64000,97,1766196550.2866056,1766196580.5711608,30.283212423324585,2,130,128,8192000,128,270512.9127480016,4.226764261687524,0.4256810341030359,0.423720121383667,0.45945035219192504,0.4933673572540283,0.4256810341030359,0.423720121383667,0.45945035219192504,0.4933673572540283,0,0,0,0,1791.9557247058083,0.4256810341030359,RAMP_UP,22
2,64000,97,1766196580.5711715,1766196614.2661028,33.693689584732056,22,161,139,8896000,139,264025.700647255,4.1254015726133595,4.179898620509415,4.5621960163116455,5.019110441207886,5.115157179832458,4.179898620509415,4.5621960163116455,5.019110441207886,5.115157179832458,0,0,0,0,517.1758757532264,4.179898620509415,RAMP_UP,26
3,64000,97,1766196614.266117,1766196648.695784,34.42826747894287,26,165,139,8896000,139,258392.32268777394,4.037380041996468,4.844762296127758,5.362606525421143,5.82381649017334,5.889585032463074,4.844762296127758,5.362606525421143,5.82381649017334,5.889585032463074,0,0,0,0,527.5181474335371,4.844762296127758,RAMP_UP,28
4,64000,97,1766196648.6957972,1766196683.504378,34.80728793144226,28,167,139,8896000,139,255578.6597772827,3.993416559020042,5.173871580645335,5.468130111694336,6.242195868492124,6.5966638612747195,5.173871580645335,5.468130111694336,6.242195868492124,6.5966638612747195,0,0,0,0,539.210369029921,5.173871580645335,RAMP_DOWN,26
5,64000,97,1766196683.5043907,1766196718.8152704,35.30968189239502,26,169,143,9152000,143,259192.36621531707,4.049880722114329,4.789855766963292,5.360875844955444,5.53548367023468,5.597636704444885,4.789855766963292,5.360875844955444,5.53548367023468,5.597636704444885,0,0,0,0,457.77987391424426,4.789855766963292,RAMP_UP,28
6,64000,97,1766196718.81528,1766196754.1152296,35.29848670959473,28,171,143,9152000,143,259274.57104024608,4.051165172503845,5.114140800662808,5.45937967300415,6.177490377426148,6.194233303070068,5.114140800662808,5.45937967300415,6.177490377426148,6.194233303070068,0,0,0,0,554.6861445943382,5.114140800662808,RAMP_DOWN,26
7,64000,97,1766196754.1152415,1766196789.008143,34.89158844947815,26,169,144,9216000,144,264132.42874695885,4.127069199171232,4.797604708207978,5.364947319030762,5.4999327778816225,5.5498057961463925,4.797604708207978,5.364947319030762,5.4999327778816225,5.5498057961463925,0,0,0,0,450.43796035471,4.797604708207978,RAMP_UP,28
8,64000,97,1766196789.0081556,1766196823.907095,34.89772343635559,28,167,139,8896000,139,254916.3419276905,3.983067842620164,5.185777123883474,5.499501943588257,6.256214737892149,6.588170356750489,5.185777123883474,5.499501943588257,6.256214737892149,6.588170356750489,0,0,0,0,496.30591268575677,5.185777123883474,RAMP_DOWN,26
9,64000,97,1766196823.9071057,1766196855.2057433,31.29741597175598,26,143,117,7488000,117,239252.9788004692,3.7383277937573314,5.086580624947181,5.410074234008789,6.044688272476196,6.678684005737306,5.086580624947181,5.410074234008789,6.044688272476196,6.678684005737306,0,0,0,0,466.7936016450239,5.086580624947181,RAMP_DOWN,24
