context_size,iteration,prompt_type,prompt_tokens,completion_tokens,ttft,generation_time,total_time,output_tokens_per_sec
64000,0,unique,64014,256,4.182404279708862,2.118302345275879,6.300714015960693,120.85149250337993
64000,0,cached,64014,256,0.2918529510498047,2.0981814861297607,2.3900396823883057,122.01041792252657
64000,1,unique,64013,256,3.530935764312744,2.101344108581543,5.632286548614502,121.82678646231153
64000,1,cached,64013,256,0.27495408058166504,2.1004018783569336,2.3753600120544434,121.88143737533662
64000,2,unique,64014,256,2.464714527130127,2.0995709896087646,4.564291000366211,121.92967099802765
64000,2,cached,64014,256,0.2845935821533203,2.0983872413635254,2.3829843997955322,121.99845431468216
128000,0,unique,128014,256,5.472466468811035,2.3824689388275146,7.854942083358765,107.45155826710814
128000,0,cached,128014,256,0.582148551940918,2.386953830718994,2.9691057205200195,107.24966553831003
128000,1,unique,128014,256,5.460177898406982,2.391126871109009,7.851310968399048,107.06249136887779
128000,1,cached,128014,256,0.5730245113372803,2.3861238956451416,2.959155321121216,107.28696882304375
128000,2,unique,128014,256,5.485521078109741,2.390862464904785,7.876389503479004,107.07433144222918
128000,2,cached,128014,256,0.5810210704803467,2.381495475769043,2.9625205993652344,107.49548029997048
